country,year,illiteracy_male,illiteracy_female,female_to_male_ratio,illiterate_total
ghana,2014,91.17,83.65,0.9175167269935286,174.82
ghana,2017,89.77029,85.2477,0.9496204145046205,175.01799
ghana,2021,91.73803,91.30476,0.9952770950062914,183.04279
greece,1991,99.0,99.0,1.0,198.0
greece,2001,99.0,99.0,1.0,198.0
greece,2009,100.0,99.0,0.99,199.0
guam,1990,100.0,100.0,1.0,200.0
guatemala,1994,82.0,71.0,0.8658536585365854,153.0
guatemala,2000,87.7,76.3,0.8700114025085518,164.0
guatemala,2002,86.0,78.0,0.9069767441860465,164.0
guatemala,2006,91.4,84.8,0.9277899343544856,176.2
guatemala,2012,95.0,92.0,0.968421052631579,187.0
guatemala,2013,94.0,90.0,0.9574468085106383,184.0
guatemala,2014,94.9,91.9,0.9683877766069547,186.8
guatemala,2015,96.67467,93.61574,0.9683585162483616,190.29041
guatemala,2018,95.0,94.0,0.9894736842105263,189.0
guatemala,2022,95.85535,94.21057,0.9828410203499336,190.06592
guatemala,2023,97.3,96.7,0.9938335046248716,194.0
guinea,1996,44.0,13.0,0.29545454545454547,57.0
guinea,2003,59.0,34.0,0.576271186440678,93.0
guinea,2005,64.19,24.12,0.37575946409097993,88.31
guinea,2010,38.0,22.0,0.5789473684210527,60.0
guinea,2012,71.69,37.24,0.519458780862045,108.93
guinea,2014,57.0,37.0,0.6491228070175439,94.0
guinea,2018,70.0,43.0,0.6142857142857143,113.0
guinea-bissau,2000,75.0,46.0,0.6133333333333333,121.0
guinea-bissau,2019,81.83359,68.58931,0.8381559454986638,150.4229
guinea-bissau,2022,86.19711,78.26567,0.9079848500721196,164.46278
guyana,2009,95.71,95.91,1.0020896458050361,191.62
guyana,2020,99.26508,99.02955,0.9976272622759182,198.29462999999998
haiti,2003,83.0,81.0,0.9759036144578314,164.0
haiti,2012,86.55,84.3,0.9740034662045061,170.85
haiti,2017,88.38471,89.32992,1.0106942705361595,177.71463
honduras,2001,89.7,92.7,1.0334448160535117,182.4
honduras,2004,90.2,91.5,1.0144124168514412,181.7
honduras,2005,89.9,93.6,1.0411568409343714,183.5
honduras,2007,93.0,95.0,1.021505376344086,188.0
honduras,2009,92.6,95.2,1.0280777537796977,187.8
honduras,2010,94.4,95.9,1.0158898305084745,190.3
honduras,2011,94.9,96.9,1.0210748155953635,191.8
honduras,2012,94.0,96.0,1.0212765957446808,190.0
honduras,2013,93.9,96.3,1.0255591054313098,190.2
honduras,2014,95.0,96.3,1.0136842105263157,191.3
honduras,2015,95.0,97.0,1.0210526315789474,192.0
honduras,2016,94.9,97.2,1.024236037934668,192.10000000000002
honduras,2018,94.9,98.2,1.0347734457323499,193.10000000000002
honduras,2019,94.8,97.3,1.0263713080168777,192.1
honduras,2023,94.6,96.5,1.0200845665961946,191.1
india,1991,74.0,49.0,0.6621621621621622,123.0
india,2001,84.0,68.0,0.8095238095238095,152.0
india,2006,88.0,74.0,0.8409090909090909,162.0
india,2011,90.0,82.0,0.9111111111111111,172.0
